TERM;CURRENT-NAME;PLEIADES-URI;GEONAMES-URI;DESCRIPTION;TYPE-TERM;DOCUMENT;GAZETTEER-PROVENNANCE
Molina; ; ;http://sws.geonames.org/6359477;null;GENT;TEXT.ACN;Geonames
Mondonnedo; ; ;http://sws.geonames.org/6359191;null;GENT;TEXT.ACN;Geonames
Montellano;Montellano; ;http://sws.geonames.org/2513637;null; ; ; 
Montemolin;Montemolín;https://pleiades.stoa.org/places/256309; ;null; ; ; 
Moriel; ; ;http://sws.geonames.org/6362227;null;GENT;TEXT.ACN;Geonames
Mormuios;Bormujos; ;http://sws.geonames.org/2520833/ ;null; ; ; 
Moron;Morón de la Frontera;https://pleiades.stoa.org/places/256275;http://sws.geonames.org/6361020/ ;null; ; ; 
Morón de la Frontera;Morón de la Frontera;https://pleiades.stoa.org/places/256275;http://sws.geonames.org/6361020/;null; ; ; 
Moura;Mora;https://pleiades.stoa.org/places/256312;  ;null; ; ; 
Murcia;Murcia; ;http://sws.geonames.org/6362997/ ;null; ; ; 
Murçia;Murcia; ;http://sws.geonames.org/6362997/; ; ;TEXT.ACN;Freeling
Naçar; ; ;http://sws.geonames.org/6359730;null;GENT;TEXT.ACN;Geonames
Niebla;Niebla;https://pleiades.stoa.org/places/256221;http://www.geonames.org/6358229/;null; ; ; 
Orens;null;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/992080; ;An ancient place, cited: BAtlas 101 M6 Oriens;GENT;TEXT.ACN;Pleiades
Paisoula;Salteras;https://pleiades.stoa.org/places/256352/;http://www.geonames.org/6361040/;null; ; ; 
Palençia;Palencia; ;http://sws.geonames.org/6360072/; ; ;TEXT.ACN;Freeling
Pilas;Pilas; ;http://sws.geonames.org/6361030/;null; ; ; 
Pilias;Pilas; ;http://sws.geonames.org/6361030/;null; ; ; 
Portogal;Portugal;http://pleiades.stoa.org/places/991319;http://sws.geonames.org/2264397/; ; ;TEXT.ACN;Freeling
Reyna;null;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362; ;An ancient place, cited: BAtlas 69 B4 Reina;GENT;TEXT.ACN;Pleiades
Salamanca;Salamanca;http://pleiades.stoa.org/places/236642;http://sws.geonames.org/6360513/; ; ;TEXT.ACN;Freeling
Salteras;Salteras;https://pleiades.stoa.org/places/256352/;http://www.geonames.org/6361040/;null; ; ; 
Sancto; ; ;http://sws.geonames.org/9170929;null;GENT;TEXT.ACN;Geonames
Sanlúcar del Guadiana;Sanlúcar de Guadina; ;http://www.geonames.org/2511305/;null; ; ; 
Segouia;Segovia;http://pleiades.stoa.org/places/236658;http://sws.geonames.org/6360915/	; ; ;TEXT.ACN;Freeling
Segouiola;Benacazón; ;http://www.geonames.org/2521154/;null; ; ; 
Segura; ;http://pleiades.stoa.org/places/256441; ;An ancient place, cited: BAtlas 26 D2 Segura; ;TEXT.ACN;Pleiades
Serpa;Serpa;http://pleiades.stoa.org/places/256446;http://sws.geonames.org/2263049/ ;null; ; ; 
Seuilia;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/;null; ; ; 
Seuilla;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/; ; ;TEXT.ACN;medieval
Seuillia;Sevilla; ;http://sws.geonames.org/2510911/;null;GENT;TEXT.ACN;Medieval
Seujlla;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/; ; ;TEXT.ACN;Freeling
Sevilla;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/;null; ; ; 
Sietmalos; ; ; ;null; ; ; 
Silue;null;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/688028; ;An ancient place, cited: BAtlas 70 G1 Silo;GENT;TEXT.ACN;Pleiades
Solucar;Sanlúcar de Guadina; ;http://www.geonames.org/2511305/;null; ; ; 
Spera;Espera; ;http://sws.geonames.org/6356932/;null; ; ; 
Taio; ; ;http://sws.geonames.org/9178307;null;GENT;TEXT.ACN;Geonames
Talavera de la Reina;Talauera;http://pleiades.stoa.org/places/265834;http://sws.geonames.org/6361825/ ;null; ; ; 
Teiada;Tejada?;https://pleiades.stoa.org/places/6356613; ;null; ; ; 
Tejada;Tejada?;https://pleiades.stoa.org/places/6356613; ;null; ; ; 
Texada de Solucar;Tejada?;https://pleiades.stoa.org/places/6356613; ;null; ; ; 
Toledo;Toledo;http://pleiades.stoa.org/places/266066;http://sws.geonames.org/6361828/;null; ; ; 
Toleti;Cardoue,Cordoa,Cordoba,Cordoba i Spania,Cordoue,Cordova,Corduba,Còrdoa,Còrdova,Córdoba,Córdoba i Spania,Córdova,Córduba,Gorad Kordava,Kordoba,Kordova,Kordovo,Kordowa,ODB,ge duo hua,ke er duo wa,koleudoba,kordoba,korudoba,kurtupa,kwrdwba,kxr do ba,kۆrdۆba,qrtbh,qrtbt,qwrdwbh,Κό�?δοβα,Горад Кордава,Кордоба,Кордова,Կորդովա,ק�?רד�?בע,קורדובה,قرطبة,قرطبه,قرطب�?,كوردوبا,کوردوبا,کۆردۆبا,कोर�?दोबा,க�?ர�?த�?பா,�?อร์โดบา,კ�?რდ�?ბ�?,コルド�?,哥多�?�,科爾多瓦,코르�?�바; ;http://sws.geonames.org/2519240;null;GENT;TEXT.ACN;Geonames
Toleti Legionis;Cardoue,Cordoa,Cordoba,Cordoba i Spania,Cordoue,Cordova,Corduba,Còrdoa,Còrdova,Córdoba,Córdoba i Spania,Córdova,Córduba,Gorad Kordava,Kordoba,Kordova,Kordovo,Kordowa,ODB,ge duo hua,ke er duo wa,koleudoba,kordoba,korudoba,kurtupa,kwrdwba,kxr do ba,kۆrdۆba,qrtbh,qrtbt,qwrdwbh,Κό�?δοβα,Горад Кордава,Кордоба,Кордова,Կորդովա,ק�?רד�?בע,קורדובה,قرطبة,قرطبه,قرطب�?,كوردوبا,کوردوبا,کۆردۆبا,कोर�?दोबा,க�?ர�?த�?பா,�?อร์โดบา,კ�?რდ�?ბ�?,コルド�?,哥多�?�,科爾多瓦,코르�?�바; ;http://sws.geonames.org/2519240;null;GENT;TEXT.ACN;Geonames
Toletum; ;http://pleiades.stoa.org/places/266066; ;Ancient Toletum, located on the Tagus river, was the main settlement of the Carpetani. The Romans captured the city in 193 B.C. In 507, Toletum became the capital of the Visigothic Kingdom and in 711 it fell to Muslim invaders. Alfonso VI of León and Castile recaptured the city in 1085.; ;TEXT.ACN;Pleiades
Torre de Guadiamar;Benacazón; ;http://www.geonames.org/2521154/;null; ; ; 
Torre del Rey;Pilas; ;http://sws.geonames.org/6361030/;null; ; ; 
Torres Alocaz;Torres Alocaz;https://pleiades.stoa.org/places/256501;   ;null; ; ; 
Torres de Alocaz;Torres Alocaz;https://pleiades.stoa.org/places/256501;  ;null; ; ; 
Tuy;Tuj,Tuy,to~ui,tu yi,twy,Туй,توي,توی,トゥイ,图伊; ;http://sws.geonames.org/6360252;null;GENT;TEXT.ACN;Geonames
Uclés;Uclés;http://pleiades.stoa.org/places/265983;http://sws.geonames.org/6357543/;null; ; ; 
Ugia;Torres Alocaz;https://pleiades.stoa.org/places/256501;  ;null; ; ; 
Urgia;Torres Alocaz;https://pleiades.stoa.org/places/256501; ;null; ; ; 
Valladolid;Valladolid; ;http://sws.geonames.org/3106672/;null; ; ; 
Valladolit;Valladolid; ;http://sws.geonames.org/3106672/;null; ; ; 
Vcles;Uclés;http://pleiades.stoa.org/places/265983;http://sws.geonames.org/6357543/ ;null; ; ; 
Viatia;Baeza;https://pleiades.stoa.org/places/266099;http://www.geonames.org/2521413/;null; ; ; 
Vivatia;Baeza;https://pleiades.stoa.org/places/266099;http://www.geonames.org/2521413/;null; ; ; 
Vizcaya;Sevilla;http://pleiades.stoa.org/places/256210;http://sws.geonames.org/2510911/; ; ;TEXT.ACN;medieval
Xerez;Jerez;http://pleiades.stoa.org/places/256091/;http://www.geonames.org/6356935/;null; ; ; 
