TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
Perez;13894;PN;FT;;;;;;;;FOUND
Toledo;13903;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Gonçaluo;13956;PN;FT; ; ;not; ; ; ; ;FOUND
Reyna;13978;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Johana;13990;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Cordoua;14033;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not; ; ;null;Medieval;FOUND
cosa;14506;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;14755;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;14797;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Aluar;14882;PN;FT;;;;;;;;FOUND
Garcia;14888;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;14898;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alfonso;14951;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Connoscida;14967;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;15040;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;15065;PN;FT;;;;;;;;FOUND
Castiella;15091;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;15105;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;15115;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;15123;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;15135;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;15146;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;15157;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;15169;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Reyna;15190;PLN;FT;https://pleiades.stoa.orghttp://pleiades.stoa.org/places/678362;null;not; ; ;An ancient place, cited: BAtlas 69 B4 Reina;Medieval;FOUND
Yolant;15202;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Ferrand;15241;PN;FT;;;;;;;;FOUND
Ordonnez;15249;PPN;PPT;;;;;;;;VALIDATE
Caualleria;15273;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Orden;15290;UN;UNI;;;not;;;;;UNIDENTIFIED
Calatraua;15299;PN;FT;;;;;;;;FOUND
Moros;15549;PLN;FT;http://sws.geonames.org/6362865; ;not;;;null;Geonames;FOUND
cosa;15957;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;16210;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Alfonso;16363;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Yolant;16405;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
Algarue;16537;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Alfonso;16593;PN;FT;;;yes;APLN;;;;FOUND
Molina;16604;PN;FT;;;yes;APLN;;;;FOUND
Frederic;16629;PPN;PPT;;;;;;;;VALIDATE
Calatraua;16723;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;16779;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Ferrando;16808;PN;FT;;;;;;;;FOUND
Castiella;16829;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
La;16850;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Leon;16864;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Pedro;16881;PN;FT;;;;;;;;FOUND
Ouiedo;16898;PPLN;PPT; ; ;not;;; ; ;VALIDATE
La;16916;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Coria;16930;PLN;FT;http://sws.geonames.org/6356764;Coria,Còria,Cória,Koria,Korija,ke li ya,qwryt,Кория,Корія,Կորիա,قورية,科里亚;not;;;null;Geonames;FOUND
Gallizia;16972;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Andreo;16986;PPN;PPT;;;;;;;;VALIDATE
Sanctiago;17008;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Pedro;17033;PN;FT;;;;;;;;FOUND
Royz;17039;PN;FT;;;;;;;;FOUND
Aluar;17089;PN;FT;;;;;;;;FOUND
Garcia;17095;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;17105;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Connoscida;17129;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;17202;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;17227;PN;FT;;;;;;;;FOUND
Castiella;17240;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;17253;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;17263;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;17271;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;17283;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;17294;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;17305;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jaen;17317;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Ramil;17341;PLN;FT;http://sws.geonames.org/3112317;Ramil,San Miguel;not;;;null;Geonames;FOUND
Yuanes;17347;UN;UNI;;;not;;;;;UNIDENTIFIED
cosa;18344;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;18596;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Aluar;18725;PN;FT;;;;;;;;FOUND
Garcia;18731;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;18741;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Conoscida;18765;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;18837;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;18862;PN;FT;;;;;;;;FOUND
Castiella;18888;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;18902;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;18912;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;18920;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuillia;18932;PLN;FT;http://sws.geonames.org/2510911/;Sevilla;not;;;null;Medieval;FOUND
Cordoua;18944;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;18955;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jaen;18967;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Domingo;18995;PPN;PPT; ; ; ; ; ; ; ;VALIDATE
de  ;19009;PPLN;PPT;;;not;;;;;VALIDATE
Façalcaçar;19588;PPLN;PPT;;;not;;;;;VALIDATE
cosa;20169;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;20420;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Rey;20463;PLN;FT;http://sws.geonames.org/3111903;Rey;not;;;null;Medieval;FOUND
Aluar;20552;PN;FT;;;;;;;;FOUND
Garcia;20558;PN;FT;;;yes;APLN;;;;FOUND
Fromesta;20568;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Conoscida;20592;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;20664;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;20689;PN;FT;;;;;;;;FOUND
Castiella;20715;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;20729;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;20739;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;20747;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuillia;20759;PLN;FT;http://sws.geonames.org/2510911/;Sevilla;not;;;null;Medieval;FOUND
Cordoua;20771;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
