Fromesta;17105;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;17240;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;17253;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;17263;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;17271;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilla;17283;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;; ;Medieval;FOUND
Cordoua;17294;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murçia;17305;PLN;FT;http://sws.geonames.org/6362997/;Murcia;not;;; ;Medieval;FOUND
Jaen;17317;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Ramil;17341;PLN;FT;http://sws.geonames.org/3112317;Ramil,San Miguel;not;;;null;Geonames;FOUND
cosa;18344;APLN;AT;http://pleiades.stoa.org/places/246360; ;yes;CN;;An ancient place, cited: BAtlas 25 G1 Cosa;Medieval;VALIDATE
Fecha;18596;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Fromesta;18741;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Castiella;18888;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;18902;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;18912;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;18920;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuillia;18932;PLN;FT;http://sws.geonames.org/2510911/;Sevilla;not;;;null;Medieval;FOUND
Cordoua;18944;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;18955;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jaen;18967;PPLN;PPT; ; ;not;;; ; ;VALIDATE
de  ;19009;PPLN;PPT;;;not;;;;;VALIDATE
Façalcaçar;19588;PPLN;PPT;;;not;;;;;VALIDATE
