TERM;POSITION;TYPE;MODE;URI;CURRENT_TERM;AMBIGUOUS;ANOTHER_MEANING;ANOTHER_MEANING_URI;DESCRIPTION;GAZETTEER;VERIFICATION
De;28175;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;28243;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;28402;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Que;28425;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;28470;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;28594;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
De;28833;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;28849;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;28927;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
De;28985;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Otrossi;29056;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;29293;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Que;29380;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Otrossi;30239;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Dada;31847;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Pedro;31948;PN;FT;;;yes;APLN;;;;FOUND
Perez;31954;PN;FT;;;;;;;;FOUND
Segouia;31963;PLN;FT;http://pleiades.stoa.org/places/236658;Segovia;not;;;null;Freeling;FOUND
Connocida;31982;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;32053;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;32078;PN;FT;;;;;;;;FOUND
Castiella;32091;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
Toledo;32106;PLN;FT;http://pleiades.stoa.org/places/266066;Toledo;not;;;null;Medieval;FOUND
Leon;32116;PLN;FT;http://pleiades.stoa.org/places/236512;León;not;;;null;Medieval;FOUND
Gallizia;32124;PLN;FT;http://pleiades.stoa.org/places/991317;Galicia;not;;;null;Medieval;FOUND
Seuilia;32136;PLN;FT;http://pleiades.stoa.org/places/256210;Sevilla;not;;;null;Medieval;FOUND
Cordoua;32147;PLN;FT;http://pleiades.stoa.org/places/256128;Córdoba;not;;;null;Medieval;FOUND
Murcia;32158;PLN;FT;http://sws.geonames.org/6362997/ ;Murcia;not;;;null;Medieval;FOUND
Jahen;32170;PLN;FT;http://pleiades.stoa.org/places/265810;Jaén;not;;;null;Medieval;FOUND
Alcoçer;32198;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Vhepte;32216;PPLN;PPT; ; ;not;;; ; ;VALIDATE
Alcoçer;32328;PPLN;PPT; ; ;not; ; ; ; ;VALIDATE
Fecha;32652;PLN;FT;http://sws.geonames.org/3122585;Fecha,Santa Cristina,Sta Cristina d Fecha;not; ; ;null;Geonames;FOUND
Sancho;32723;APLN;AT;http://sws.geonames.org/9170929; ;yes;PN; ;null;Geonames;VALIDATE
Perez;32730;PN;FT;;;;;;;;FOUND
Connoscida;32795;UN;UNI; ; ; ; ; ; ; ;UNIDENTIFIED
Alfonso;32868;PN;FT; ; ;yes;APLN;http://sws.geonames.org/10240358;null;Geonames;FOUND
Dios;32893;PN;FT;;;;;;;;FOUND
Castiella;32906;PLN;FT; ;Castilla;not;;;null;Medieval;FOUND
